# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: CRP SP
# Propriedade: Site - GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20241006
# Data de término: 20251006
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/impresso/view/433/orientacao-para-empresas-que-contratam-estudantes-de-psicologia-para-atuar-na-area-organizacional-ou-recursos-humanos,13,9,1.4444444444444444,5.444444444444445,26,0,0
/impresso/view/441/a-psicologia-no-enfrentamento-ao-racismo,13,9,1.4444444444444444,17.22222222222222,25,0,0
/impresso/view/451,13,13,1,17.846153846153847,27,0,0
/impresso/view/470,13,11,1.1818181818181819,44.63636363636363,29,0,0
/impresso/view/472,13,12,1.0833333333333333,10.666666666666666,27,0,0
/impresso/view/477,13,12,1.0833333333333333,6.5,32,0,0
/impresso/view/482/manual-da-psicologia-e-direitos-humanos,13,7,1.8571428571428572,6.714285714285714,24,0,0
/impresso/view/485,13,11,1.1818181818181819,6.545454545454546,28,0,0
/impresso/view/497/referencias-tecnicas-para-atuacao-de-psicologasos-em-politicas-publicas-de-mobilidade-humana-e-transito,13,12,1.0833333333333333,22.75,24,0,0
/impresso/view/524,13,10,1.3,9.2,36,0,0
/impresso/materia/26/recomendacoes-aos-servicos-escola-de-psicologia-do-estado-de-sao-paulo,12,11,1.0909090909090908,35.81818181818182,30,0,0
/impresso/view/198/estatuto-da-crianca-e-do-adolescente-lei-n-80691990,12,10,1.2,5.3,22,0,0
/impresso/view/334,12,4,3,16.75,25,0,0
/impresso/view/44,12,11,1.0909090909090908,16.818181818181817,24,0,0
/impresso/view/492,12,6,2,6.833333333333333,28,0,0
/impresso/view/493/saude-do-trabalhador-no-ambito-da-saude-publica-referencias-tecnicas-para-a-atuacao-dao-psicologao,12,12,1,7.666666666666667,31,0,0
/impresso/view/525/atendimento-domiciliar-e-em-contextos-diversos,12,9,1.3333333333333333,12.222222222222221,25,0,0
